,nr_tunnused,mse,oob
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.21,0.6
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",7,-0.216,0.6
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",6,-0.22,0.6
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",7,-0.229,0.6
"('VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.238,0.6
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.208,0.599
"('TPSA', 'SlogP_VSA8', 'SPS')",3,-0.187,0.598
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",4,-0.202,0.598
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",5,-0.209,0.598
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SPS')",5,-0.211,0.598
"('VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.213,0.598
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.215,0.598
"('AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",4,-0.224,0.598
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.226,0.598
"('TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.203,0.597
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS', 'VSA_EState1')",6,-0.203,0.597
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.207,0.597
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",5,-0.211,0.597
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.212,0.597
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",5,-0.213,0.597
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState1')",5,-0.217,0.597
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",5,-0.227,0.597
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS')",5,-0.208,0.596
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.215,0.596
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.215,0.596
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",4,-0.218,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SPS', 'VSA_EState1')",5,-0.223,0.596
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",6,-0.205,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SPS')",4,-0.207,0.595
