Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL4102380,,CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(C#N)c1)CC(C)(C)O2,IC50,4.85,CHEMBL4054425,Antiproliferative activity against human T98G cells after 72 hrs by MTT assay,T98G,CJYMCBSCMOLHIE-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL2069126,CORNUSALTERIN C,COC(C)(C)/C=C/C[C@H](C)[C@@H]1CC[C@]2(C)[C@@H]3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,IC50,4.75,CHEMBL1669908,Cytotoxicity against human XF498 cells by SRB assay,XF 498,AHAJUDPVPSLOAM-MCTQLSMQSA-N,,Cytotoxicity,SRB
CHEMBL53463,DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,IC50,7.75,CHEMBL1103642,Cytotoxicity against human U87MG cells after 48 hrs by [3H]thymidine incorporation assay,U-87MG ATCC,AOJJSUZBOXZQNB-TZSSRYMLSA-N,48.0,Cytotoxicity,[3H]thymidine incorporation
CHEMBL4459518,,CN(CCOC(=O)/C=C/C(=O)c1ccc(F)cc1)C(C(=O)NC(C)(C)C)c1ccc(F)cc1,IC50,5.01,CHEMBL4362340,Cytotoxicity against human U87 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,U-87MG ATCC,RJGWWNVHLMPYEN-BUHFOSPRSA-N,72.0,Cytotoxicity,MTT
CHEMBL4787717,,COc1cc(C(=O)NC2CCNCC2)ccc1Nc1ncc2scc(-c3ccccc3OC)c2n1,IC50,5.19,CHEMBL4767591,Antiproliferative activity against human U-87MG cells assessed as inhibition of cell growth measured after 72 hrs by MTT assay,U-87MG ATCC,PAQTVICEMANNAC-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL446591,,COc1cc([C@@H]2c3cc4c(cc3[C@@H](n3cc(CNc5cccc(Cl)c5)nn3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,IC50,6.08,CHEMBL994927,Cytotoxicity against human SF295 cells by sulforhodamine B assay,SF295,IOFPYWWAVQTBSB-ALMBTRMVSA-N,,Cytotoxicity,sulforhodamine B
CHEMBL44657,ETOPOSIDE,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,IC50,4.88,CHEMBL994927,Cytotoxicity against human SF295 cells by sulforhodamine B assay,SF295,VJJPUSNTGOMMGY-MRVIYFEKSA-N,,Cytotoxicity,sulforhodamine B
CHEMBL229727,,COc1cc(OC)c2nc3c(nc2c1)C(=O)c1cnncc1C3=O,IC50,7.48,CHEMBL904567,Anticancer activity against human XF498 cells after 48 hrs by SRB assay,XF 498,ONAIIUROHYQSCU-UHFFFAOYSA-N,48.0,Anticancer activity,SRB
CHEMBL5087462,,COc1ccc(NC(=O)c2ccccc2Nc2cccc(Cl)c2C)cc1,IC50,5.32,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,FZEOLZCBYJQGGE-UHFFFAOYSA-N,72.0,Antiproliferative activity,CCK-8
CHEMBL5082822,,COc1ccc(NC(=O)c2ccccc2Nc2cccc(C)c2C)cc1,IC50,4.13,CHEMBL5033582,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK-8 assay,U-87MG ATCC,VRMIGBQDTMKLPK-UHFFFAOYSA-N,72.0,Antiproliferative activity,CCK-8
