Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey
CHEMBL5084269,,O=C(C[C@@]1(O)C(=O)N(Cc2cccc(Cl)c2)c2ccccc21)c1ccccn1,IC50,4.56,CHEMBL5029875,Cytotoxicity against human U87 cells assessed as reduction in cell viability incubated for 24 hrs by CCK8 assay,U-87MG ATCC,JJOIKBZRLCEZOR-QFIPXVFZSA-N
CHEMBL4783328,,C1=C2CNCC3=Cc4c(ccc5ccccc45)OC23Oc2ccc3ccccc3c21,IC50,5.3,CHEMBL4688129,Anti-cancer activity against human SNB-75 cells assessed as cell growth inhibition measured after 48 hrs by SRB method,SNB-75,FKUSUQUCJVZNII-UHFFFAOYSA-N
CHEMBL5267044,,Cc1c(Cl)ccc2c(/C=C3\NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12,IC50,5.85,CHEMBL5582679,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell growth incubated for 72 hrs by MTS assay,U-87MG ATCC,OEXMEVPQEPHTAQ-IDUWFGFVSA-N
CHEMBL4793298,,C[N+](=O)c1ccc(/C=C/C(=O)c2ccc(N3CCOCC3)cc2)o1,EC50,5.01,CHEMBL4767683,Antiproliferative activity against human U87MG cells assessed as cell growth inhibition measured after 72 hrs by SRB assay,U-87MG ATCC,ILLFPXCUYAQGTM-SOFGYWHQSA-N
CHEMBL4073310,,O=C(/C=C/c1ccc([N+](=O)[O-])o1)c1ccc(I)cc1,EC50,5.28,CHEMBL4767683,Antiproliferative activity against human U87MG cells assessed as cell growth inhibition measured after 72 hrs by SRB assay,U-87MG ATCC,KYRLMIXZFNCBMW-FNORWQNLSA-N
CHEMBL4070585,,O=C(/C=C/c1ccc([N+](=O)[O-])o1)c1ccc(N2CCNCC2)cc1,EC50,5.31,CHEMBL4767683,Antiproliferative activity against human U87MG cells assessed as cell growth inhibition measured after 72 hrs by SRB assay,U-87MG ATCC,ZZXWVWNECFVHBY-FNORWQNLSA-N
CHEMBL5089333,,Nc1nc2cc3c(cc2cc1C(=O)NCc1ccccc1)OCO3,IC50,4.12,CHEMBL5031814,Cytotoxicity against human U-87 MG cells assessed as inhibition of cell growth measured after 48 hrs by MTT assay,U-87MG ATCC,GFOKSVKZSHIVQO-UHFFFAOYSA-N
CHEMBL2385197,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccc(F)c(F)c5)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCC1,IC50,5.97,CHEMBL2390322,Cytotoxicity against c-Met-dependent human U87MG cells assessed as growth inhibition after 72 hrs by MTT assay,U-87MG ATCC,QDZNZFNADWFZJG-UHFFFAOYSA-N
CHEMBL5280867,,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)NN5CCOCC5)cc4)nc(N4CCOCC4)n3)s2)CC1,IC50,4.57,CHEMBL5240755,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth incubated for 72 hrs by MTT assay,U-87MG ATCC,PBSBZNYTIWLPAF-UHFFFAOYSA-N
CHEMBL521851,PICTILISIB,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,IC50,5.5,CHEMBL5240755,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth incubated for 72 hrs by MTT assay,U-87MG ATCC,LHNIIDJUOCFXAP-UHFFFAOYSA-N
