,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.593
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'VSA_EState1')",-0.23,0.593
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.593
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.592
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",-0.22,0.592
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.21,0.591
"('VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.591
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'VSA_EState1')",-0.22,0.591
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.591
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SPS')",-0.22,0.591
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.26,0.591
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",-0.2,0.59
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.59
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8')",-0.21,0.59
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.59
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",-0.2,0.589
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.589
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",-0.21,0.589
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.589
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.22,0.589
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.589
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8')",-0.22,0.589
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.588
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.22,0.588
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SPS', 'VSA_EState1')",-0.23,0.588
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.588
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",-0.21,0.587
"('VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.22,0.587
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.23,0.587
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",-0.21,0.586
"('VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.21,0.586
"('HallKierAlpha', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.21,0.586
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SPS', 'VSA_EState1')",-0.22,0.586
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.22,0.586
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'VSA_EState1')",-0.23,0.586
"('VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.23,0.586
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8')",-0.21,0.585
